timestamp,W1 (m),W2 (m),W3 (m),W4 (m),W5 (m),L1 (m),L2 (m),L3 (m),L4 (m),L5 (m),Vdd (V),Vi (V),Vin1_dc (V),Vin2_dc (V),Vin1_ac (V),Vin2_ac (V),gain_db,bandwidth (Hz),phase_margin,region5,Fom,SR,PSRR,CMRR,fit_b0,fit_b1,fit_b2,fit_a1,fit_a2
five_stage_amp_20250523_215516.raw,4.49e-06,4.49e-06,4.51e-06,4.51e-06,1.09e-06,9e-08,9e-08,1.7000000000000001e-07,1.7000000000000001e-07,2.2e-07,1.2,0.8300000000000001,0.8200000000000001,0.8200000000000001,0.009000000000000001,-0.009000000000000001,32.077897744210055,12022644.34617444,86.33379869884557,0.0001987851794186131,1940090086592.631,167595880.1150598,25.20063152573313,10.49427280434018,40.169632587727,-1.8361081230523055e-08,3.829191170066877e-19,1.327096275222485e-08,-5.874547711875029e-18
five_stage_amp_20250523_215517.raw,9.2e-07,9.2e-07,4.4600000000000005e-06,4.4600000000000005e-06,3.68e-06,1.8e-07,1.8e-07,8e-08,8e-08,2.4000000000000003e-07,1.2,0.03,0.67,0.67,0.04,-0.04,-1.434897071366996,8709.63589956093,179.99339295501176,2.25890984019635e-09,-5532505469039.226,9203.416039688282,4.692414161535408,-23.01852205197237,0.8477597992438795,-9.882071778209337e-08,6.068644349082976e-16,1.8241400471305935e-05,-1.340188606586464e-12
five_stage_amp_20250523_215519.raw,2.66e-06,2.66e-06,2.27e-06,2.27e-06,4.28e-06,6.000000000000001e-08,6.000000000000001e-08,7e-08,7e-08,1.3e-07,1.2,0.5700000000000001,0.28,0.28,0.01,-0.01,16.394739374326633,38018939.63205716,98.31191794234057,0.0001041009738578811,5987557882088.404,243664289.5453011,14.80059599989326,-5.188885546625155,6.602940217721971,-2.6474681405262806e-08,1.5799277468257817e-19,2.587935733767379e-10,-1.7063776719396904e-17
five_stage_amp_20250523_215521.raw,3.63e-06,3.63e-06,2.73e-06,2.73e-06,4.24e-06,8e-08,8e-08,1e-07,1e-07,1.9e-07,1.2,0.02,0.96,0.96,0.036000000000000004,-0.036000000000000004,19.08803793425672,2511.88643150961,95.92369783160692,2.857970281628347e-09,16776585746679.66,12081.96213175412,22.20749456537028,-2.495648216837409,9.003418922195213,-1.306080540219266e-06,1.1285786856052622e-14,6.38079573530118e-05,-5.388276177504349e-12
five_stage_amp_20250523_215522.raw,5.33e-06,5.33e-06,1.12e-06,1.12e-06,5.14e-06,1.2000000000000002e-07,1.2000000000000002e-07,1.7000000000000001e-07,1.7000000000000001e-07,1.7000000000000001e-07,1.2,0.63,0.92,0.92,0.048,-0.048,-35.89228016728431,416869383.4703485,179.99999984091826,0.0002210774373474248,-67679419863942.6,74787775.13715208,11.51573460471184,-57.47590508823691,0.016046709707014127,-5.452337496525882e-13,-1.5382505584116654e-23,4.079358099050387e-10,1.988354807800296e-21
five_stage_amp_20250523_215524.raw,1e-06,1e-06,5.06e-06,5.06e-06,5.06e-06,1.5e-07,1.5e-07,7e-08,7e-08,9e-08,1.2,0.96,0.28,0.28,0.019,-0.019,23.065091216267977,275422.8703338221,93.37118551526957,1.173135137854654e-06,5415108134015.349,339315176.5832399,18.96435595789725,1.481480032340293,14.231627265953943,4.324977704033859e-09,-1.1293909270511047e-19,5.99382066984789e-07,4.570954922561707e-16
five_stage_amp_20250523_215525.raw,2.53e-06,2.53e-06,2.05e-06,2.05e-06,5.5200000000000005e-06,1.6e-07,1.6e-07,1.3e-07,1.3e-07,1.1e-07,1.2,0.15,0.17,0.17,0.027,-0.027,34.887699367708706,7585.775750291944,90.48747474149047,1.069470365453265e-07,2474591839063.0273,286424.5314699469,30.2808325317624,13.30407445794054,55.51181659788555,-5.298581566532049e-07,3.0301425085454555e-16,2.153247421475324e-05,-1.3824381319084061e-13
five_stage_amp_20250523_215527.raw,2.69e-06,2.69e-06,1.7e-06,1.7e-06,3.98e-06,2.1e-07,2.1e-07,2e-07,2e-07,9e-08,1.2,0.24,0.81,0.81,0.016,-0.016,44.63796824972255,47863.00923226463,89.50457227340397,2.243294894820047e-06,952397070656.8173,2764937.217753487,38.78553574237551,23.05434333174788,170.56839182963907,-2.1432351958033045e-07,1.9561246710830685e-17,3.4031146541712117e-06,-3.364158337982807e-15
five_stage_amp_20250523_215528.raw,3.01e-06,3.01e-06,1.13e-06,1.13e-06,2.7600000000000003e-06,2.4000000000000003e-07,2.4000000000000003e-07,8e-08,8e-08,1.5e-07,1.2,1.06,0.63,0.63,0.002,-0.002,32.215624729182565,8317637.711026917,90.02014691822276,0.0002370792031766688,1130246312377.1382,196278014.583521,26.33542306274692,10.63199980823127,40.811375880578474,7.189143623104206e-11,-9.874416009116283e-22,1.9115973471931132e-08,2.4127276024609886e-19
five_stage_amp_20250523_215530.raw,2.51e-06,2.51e-06,4.66e-06,4.66e-06,5.5200000000000005e-06,1.8e-07,1.8e-07,1.9e-07,1.9e-07,1.8e-07,1.2,0.72,0.31,0.31,0.013000000000000001,-0.013000000000000001,43.183321391520636,95499.2586021453,88.99540897621691,4.022563859147462e-06,1025210617226.2019,228126881.9834004,38.2543797900206,21.59969647138331,144.26669065780857,2.5855634096039394e-08,-5.45542085542264e-19,1.6999388104106443e-06,7.814564481147483e-16
